,Especie,Ticker,Spot,Moneyness,CallPut,Strike,TTM,impliedVolatility,Last,Bid,Ask,Avg,Tasa,Precio_BS,Precio_BIN
0,FB200807C00110000,FB,249.32999999999998,2.2666363636363633,C,110.0,1,5.542971821289061,143.8,138.45,139.7,139.075,0.0008725,139.36409556167473,139.36268991224156
1,FB200807C00115000,FB,249.32999999999998,2.168086956521739,C,115.0,1,5.2695346630859365,138.7,133.45,134.7,134.075,0.0008725,134.36487383497382,134.36377242431584
907,FB200807P00115000,FB,249.32999999999998,2.168086956521739,P,115.0,1,3.718750703125,0.06,0.0,0.07,0.035,0.0008725,0.00026118532955153335,0.00022849709966721768
2,FB200807C00120000,FB,249.32999999999998,2.07775,C,120.0,1,5.005863117675781,132.8,128.45,129.7,129.075,0.0008725,129.36558155465457,129.36469209278656
908,FB200807P00120000,FB,249.32999999999998,2.07775,P,120.0,1,3.843750390625,0.1,0.0,0.16,0.08,0.0008725,0.0011754555567405206,0.0010919146699233768
909,FB200807P00130000,FB,249.32999999999998,1.9179230769230768,P,130.0,1,2.93750265625,0.01,0.0,0.03,0.015,0.0008725,6.76806430049341e-05,5.680051913257513e-05
910,FB200807P00135000,FB,249.32999999999998,1.8468888888888888,P,135.0,1,2.50000375,0.01,0.0,0.01,0.005,0.0008725,6.506731148948712e-06,5.111219264634574e-06
911,FB200807P00140000,FB,249.32999999999998,1.7809285714285714,P,140.0,1,2.3750040624999995,0.01,0.0,0.01,0.005,0.0008725,7.933558813564277e-06,6.3781756225629365e-06
3,FB200807C00145000,FB,249.32999999999998,1.7195172413793103,C,145.0,1,3.832031669921875,96.8,103.45,104.7,104.075,0.0008725,104.37028672366696,104.36894586149118
912,FB200807P00145000,FB,249.32999999999998,1.7195172413793103,P,145.0,1,2.2500043749999996,0.01,0.0,0.01,0.005,0.0008725,9.349421876247879e-06,7.738152622913393e-06
4,FB200807C00150000,FB,249.32999999999998,1.6622,C,150.0,1,3.621094697265625,84.05,98.45,99.7,99.075,0.0008725,99.3715466532442,99.37003438524417
913,FB200807P00150000,FB,249.32999999999998,1.6622,P,150.0,1,2.1250046874999997,0.03,0.0,0.01,0.005,0.0008725,1.064058032342898e-05,8.731776713467176e-06
5,FB200807C00155000,FB,249.32999999999998,1.6085806451612903,C,155.0,1,3.416017084960937,97.94,93.45,94.7,94.075,0.0008725,94.37286835203611,94.37186147723129
914,FB200807P00155000,FB,249.32999999999998,1.6085806451612903,P,155.0,1,2.3593791015624994,0.01,0.0,0.07,0.035,0.0008725,0.0003344335251963329,0.00030067171209031463
6,FB200807C00160000,FB,249.32999999999998,1.5583125,C,160.0,1,3.216798833007812,76.85,88.45,89.7,89.075,0.0008725,89.3743183974884,89.37359104647552
